timestamp,service_type,usage_units,provisioned_capacity,cost_usd,availability_pct,cloud_spend_index,enterprise_demand_index,new_service_launch,hour,day,day_of_week,month,week_of_year,lag_1_usage,lag_7_usage,lag_14_usage,rolling_mean_3,rolling_mean_7,rolling_std_7,demand_spike,region_India-South,region_US-East,region_US-West
2023-01-02 05:19:30,1,7269.32,10000,3489.27,99.6,104.03,0.88,0,5,2,0,1,1,7571.6,6568.69,11070.03,7996.66,9110.874285714284,2496.41899823098,0,False,False,True
2023-01-02 06:22:43,0,10429.23,8000,3337.35,99.95,125.06,1.24,0,6,2,0,1,1,7269.32,8632.58,10606.77,8423.383333333333,9367.53857142857,2531.165981818317,0,False,False,False
2023-01-02 07:51:21,1,10260.58,10000,4925.08,99.63,104.13,1.03,1,7,2,0,1,1,10429.23,7188.33,8647.21,9319.710000000001,9806.43142857143,2350.212464866588,0,False,False,True
2023-01-02 09:35:47,1,6776.61,10000,3252.77,99.53,91.35,0.83,0,9,2,0,1,1,10260.58,9614.94,14125.23,9155.473333333333,9400.955714285714,2618.3094678873563,0,False,False,False
2023-01-02 10:57:45,0,11442.92,8000,3661.74,99.85,129.24,1.05,0,10,2,0,1,1,6776.61,14350.29,10985.42,9493.37,8985.617142857143,1807.366047952233,0,False,True,False
2023-01-02 11:27:57,1,11378.04,10000,5120.118,99.83,100.98,1.05,0,11,2,0,1,1,11442.92,9149.06,8987.39,9865.856666666667,9304.042857142858,2024.295811673072,0,False,False,True
2023-01-02 12:47:59,0,7088.73,8000,2268.39,99.78,114.27,1.0,0,12,2,0,1,1,11378.04,7571.6,9714.2,9969.896666666666,9235.061428571427,2099.98352923246,0,False,False,False
2023-01-02 13:22:40,0,10244.61,8000,3278.27,99.35,129.42,1.05,1,13,2,0,1,1,7088.73,7269.32,6568.69,9570.460000000001,9660.102857142858,1930.0264411117473,0,False,True,False
2023-01-02 15:04:48,0,7472.81,8000,2391.3,99.53,110.43,1.08,0,15,2,0,1,1,10244.61,10429.23,8632.58,8268.716666666667,9237.757142857143,2053.211896222715,0,False,False,True
2023-01-02 17:25:21,1,10725.72,10000,5148.35,99.38,97.81,1.29,0,17,2,0,1,1,7472.81,10260.58,7188.33,9481.046666666667,9304.205714285714,2098.8502218822664,0,False,False,False
2023-01-02 20:59:59,0,6679.26,8000,2137.36,99.69,126.01,0.79,1,20,2,0,1,1,10725.72,6776.61,9614.94,8292.596666666666,9290.298571428571,2118.6190302130663,0,True,False,False
2023-01-02 21:38:57,0,6186.49,8000,1979.68,99.34,109.47,0.8,0,21,2,0,1,1,6679.26,11442.92,14350.29,7863.823333333333,8539.380000000001,2159.628721871733,0,False,False,False
2023-01-02 22:00:10,0,8703.92,8000,2785.25,99.45,111.71,1.26,0,22,2,0,1,1,6186.49,11378.04,9149.06,7189.889999999999,8157.362857142857,1776.3023593945027,0,False,False,True
2023-01-02 23:39:00,1,7378.99,10000,3541.91,99.91,101.66,0.83,1,23,2,0,1,1,8703.92,7088.73,7571.6,7423.133333333334,8198.82857142857,1750.397703146617,0,False,False,False
2023-01-03 00:34:31,1,7866.44,10000,3775.89,99.96,112.43,0.85,0,0,3,1,1,1,7378.99,10244.61,7269.32,7983.116666666666,7859.090000000001,1500.0365076446196,0,False,False,False
2023-01-03 02:22:06,1,13689.25,10000,6570.84,99.44,115.74,1.3,0,2,3,1,1,1,7866.44,7472.81,10429.23,9644.893333333333,8747.152857142855,2640.126924510223,1,False,False,True
2023-01-03 03:41:59,1,9157.57,10000,4395.63,99.44,126.14,0.79,0,3,3,1,1,1,13689.25,10725.72,10260.58,10237.753333333334,8523.131428571429,2507.4567511818864,0,False,True,False
2023-01-03 08:02:57,1,6073.06,10000,2915.07,99.31,93.26,0.82,0,8,3,1,1,1,9157.57,6679.26,6776.61,9639.96,8436.531428571428,2590.8340804422337,0,False,False,False
2023-01-03 09:55:52,0,10241.22,8000,3277.19,99.74,111.28,1.34,0,9,3,1,1,1,6073.06,6186.49,11442.92,8490.616666666667,9015.778571428571,2453.570562679545,0,False,True,False
2023-01-03 10:58:29,0,9443.15,8000,1832.02,99.74,95.41,0.9,0,10,3,1,1,1,10241.22,8703.92,11378.04,8585.81,9121.382857142857,2453.8193274139962,0,True,False,False
2023-01-03 11:55:01,1,8645.08,10000,4149.64,99.71,97.92,1.1,0,11,3,1,1,1,9443.15,7378.99,7088.73,9443.15,9302.252857142857,2348.379213924037,0,False,False,False
2023-01-03 13:05:42,0,9642.85,8000,3085.71,99.36,117.98,1.24,0,13,3,1,1,1,8645.08,7866.44,10244.61,9243.693333333335,9556.025714285714,2261.7453734587157,0,False,False,True
2023-01-03 15:46:00,0,8202.83,8000,2624.91,99.88,122.79,0.98,0,15,3,1,1,1,9642.85,13689.25,7472.81,8830.253333333332,8772.251428571428,1362.6220761633135,0,False,False,False
