timestamp,region,service_type,usage_units,provisioned_capacity,cost_usd,availability_pct,cloud_spend_index,enterprise_demand_index,new_service_launch
2023-03-12 01:14:50,us-west,Storage,8824.65,8000,2823.89,99.94,92.91,1.21,0
2023-01-31 10:18:59,Europe-North,Compute,13098.88,10000,6287.46,99.69,103.9,1.35,0
2023-08-30 21:38:21,us-east,Storage,,8000,,99.57,90.63,1.02,0
2024-02-19 05:23:30,us east,Storage,6408.14,8000,2050.61,99.46,100.01,0.79,0
2024-03-19 21:40:00,us-west,Compute,11940.33,10000,5731.36,99.89,96.41,1.08,0
2023-09-29 06:34:40,Europe-North,Storage,5798.16,8000,1855.41,99.86,121.65,1.16,0
2024-02-27 18:48:00,India-South,Compute,10784.85,10000,5176.73,99.64,115.98,0.89,0
2023-12-26 12:55:25,india-south,Storage,6140.84,8000,1965.07,99.91,95.61,0.97,1
2024-03-01 17:37:48,us-west,Compute,17831.58,10000,8559.16,99.88,125.75,,0
2023-12-27 09:08:21,Europe-North,Compute,8883.72,10000,4264.18,99.47,119.62,0.83,0
2023-02-05 07:21:34,US-West,Storage,11079.51,8000,3545.44,99.59,121.52,1.15,1
2023-06-30 19:52:43,europe-north,Storage,6976.28,8000,2232.41,99.51,121.69,0.85,0
2024-03-10 14:41:44,us-west,Storage,11526.91,8000,3688.61,99.43,107.27,1.21,1
2023-02-13 20:18:09,India-South,Storage,9418.49,8000,3013.92,99.53,108.79,1.18,0
2023-08-08 11:33:54,us-west,Compute,8981.18,10000,4310.97,99.38,113.79,0.99,1
2023-04-13 22:11:44,europe-north,Compute,16191.14,10000,7771.75,99.75,119.98,1.27,0
2023-05-17 10:11:08,europe north,Storage,8174.03,8000,2615.69,99.91,124.71,0.81,0
2024-03-16 13:47:50,Us-East,Compute,14849.99,10000,7127.99,99.48,121.85,1.15,0
2023-01-14 21:16:01,india-south,Compute,10031.13,10000,4814.94,99.49,116.97,0.95,0
2023-06-06 02:08:27,us west,Compute,11053.96,10000,5305.9,99.9,116.85,1.03,0
2024-02-03 16:44:26,us west,Storage,10569.27,8000,3382.17,99.35,114.65,1.05,1
2023-12-31 03:53:10,Us-East,Storage,7212.76,8000,2308.08,99.81,103.82,1.02,0
2023-07-05 14:47:17,india-south,Compute,7560.43,10000,3629.01,99.36,118.77,0.83,0
2023-09-15 01:42:01,india-south,Storage,5763.47,8000,1844.31,99.64,96.5,1.22,0
2023-02-10 10:36:52,india south,Storage,6404.91,8000,2049.57,99.89,108.31,0.76,0
2023-03-14 19:19:20,us-east,Storage,13602.69,8000,4352.86,99.95,126.0,1.16,1
2023-04-19 10:42:02,us-west,Storage,9143.57,8000,2925.94,99.9,108.39,0.88,1
2023-05-31 15:13:10,Us-East,Compute,10117.45,10000,4856.38,99.5,99.57,1.1,0
2023-01-07 07:51:26,US-West,Compute,12907.92,10000,6195.8,99.96,129.39,1.16,0
2023-12-13 08:57:39,US-West,Storage,6704.06,8000,2145.3,99.6,99.13,1.08,0
2023-09-06 20:50:16,us-east,Compute,7996.69,10000,3838.41,99.42,103.3,1.32,0
2023-11-18 08:30:24,us-west,Storage,5471.47,8000,1750.87,99.32,,0.96,0
2024-02-28 18:59:22,us east,Compute,10207.08,10000,4899.4,,122.58,0.82,0
2023-05-26 07:27:08,us-east,Compute,9313.9,10000,4470.67,99.4,93.36,0.95,0
2023-12-06 23:03:00,europe north,Storage,4164.13,8000,1332.52,99.9,91.47,0.86,0
2023-05-05 16:37:47,us west,Storage,10117.61,8000,3237.63,99.6,121.82,1.0,0
2024-02-08 10:25:40,US-West,Compute,8464.6,10000,4063.01,99.43,96.46,0.84,1
2023-11-29 23:17:46,Us-East,Compute,9438.19,10000,4530.33,99.61,111.88,1.04,1
2024-02-29 02:24:53,europe-north,Storage,6610.99,8000,2115.52,99.69,96.19,0.8,0
2023-12-31 20:49:31,US-West,Storage,8813.57,8000,,99.4,112.43,1.08,1
2023-04-18 18:58:27,us-west,Compute,13852.61,10000,6649.25,99.47,92.07,1.3,1
2024-02-17 22:03:43,US-West,Compute,12109.62,10000,5812.62,99.92,101.51,1.19,0
2023-07-16 20:05:00,Europe-North,Compute,8730.27,10000,4190.53,99.87,114.95,1.04,0
2023-05-13 16:37:44,India-South,Compute,9889.01,10000,4746.72,,96.2,0.96,0
2023-05-18 07:53:03,Us-East,Compute,14962.68,10000,7182.09,99.75,,1.3,0
2023-06-15 19:17:55,us east,Compute,10138.79,10000,4866.62,99.53,100.98,1.08,0
2024-03-19 07:09:48,europe-north,Compute,18898.78,10000,9071.41,99.42,122.98,1.26,1
2024-01-05 06:12:22,India-South,Compute,12038.27,10000,5778.37,99.57,111.15,1.2,0
2023-08-23 13:35:58,india-south,Compute,7626.83,10000,3660.88,99.75,98.74,1.14,0
2023-06-10 04:25:04,India-South,Storage,12249.69,8000,3919.9,99.96,123.4,1.32,0
2024-01-21 23:01:58,india-south,Storage,11235.65,8000,3595.41,99.76,113.46,1.35,0
2023-05-12 09:34:12,India-South,Storage,10094.37,8000,,99.76,103.1,1.14,0
2024-03-06 07:59:21,US-West,Storage,12700.97,8000,4064.31,99.6,122.52,1.22,0
2023-03-07 04:28:36,india-south,Compute,9957.42,10000,4779.56,99.43,118.08,0.8,0
2023-07-24 07:36:36,India-South,Compute,9918.79,10000,4761.02,99.95,127.02,1.08,0
2024-03-02 00:38:52,us-west,Storage,11492.96,8000,3677.75,99.39,128.71,1.04,0
2023-08-29 07:32:21,Europe-North,Compute,10330.91,10000,4958.84,99.8,126.24,1.27,0
2024-02-11 01:22:16,us east,Compute,13150.75,10000,6312.36,99.97,112.73,1.14,0
2023-10-18 18:59:31,US-West,Storage,6358.99,8000,2034.88,99.31,106.61,1.23,0
2023-11-17 08:19:54,us-east,Storage,5978.03,8000,1912.97,99.52,126.35,1.0,0
2023-03-29 01:47:05,india south,Storage,13680.62,8000,4377.8,99.74,126.06,1.26,0
2023-02-01 04:58:41,us-east,Storage,12195.9,8000,3902.69,99.68,118.56,1.31,0
2023-05-06 15:22:37,india south,Storage,7215.56,8000,2308.98,99.8,110.69,0.87,0
2023-08-23 19:32:42,Us-East,Compute,6347.51,10000,3046.8,99.78,110.62,0.83,1
2023-01-03 03:41:59,us-east,Compute,9157.57,10000,4395.63,,126.14,0.79,0
2024-03-01 00:05:44,us-west,Compute,13496.96,10000,6478.54,99.66,113.62,1.06,0
2023-04-01 21:54:26,Europe-North,Compute,18949.91,10000,9095.96,99.64,116.44,1.35,1
2023-04-15 11:46:34,india south,Compute,8218.71,10000,3944.98,99.41,95.34,0.78,0
2023-04-25 17:15:03,india south,Storage,10646.3,8000,3406.82,99.5,,1.16,0
2023-03-14 09:30:52,europe north,Compute,14651.75,10000,7032.84,,118.94,1.15,0
2023-07-15 04:49:00,US-West,Storage,5743.47,8000,1837.91,99.83,104.6,0.82,0
2023-03-29 14:34:55,US-West,Compute,13061.89,10000,6269.71,99.83,109.75,0.97,1
2023-05-13 01:47:20,us-east,Storage,9246.22,8000,2958.79,99.64,127.27,,0
2023-11-05 19:31:27,US-West,Compute,8850.87,10000,4248.42,99.99,101.56,1.3,1
2024-03-01 18:12:23,europe-north,Storage,6670.18,8000,2134.46,99.33,98.99,0.87,0
2023-01-11 05:20:36,India-South,Compute,8748.9,10000,4199.47,99.86,101.43,0.86,1
